"Domain","Available","Premium","Price"
"test.co.uk","taken","",""
"test.coach","taken","",""
"test.codes","taken","",""
"test.coffee","taken","",""
"test.college","taken","",""
"test.com","taken","",""
"test.com.au","taken","",""
"test.com.co","taken","",""
"test.com.de","available","","€4.82"
"test.com.es","taken","",""
"test.com.mx","taken","",""
"test.com.pe","taken","",""
"test.com.ph","taken","",""
"test.com.se","available","","€9.67"
"test.com.sg","taken","",""
"test.com.vc","available","","€31.94"
"test.community","taken","",""
"test.company","taken","",""
"test.computer","taken","",""
"test.condos","taken","",""
"test.construction","taken","",""
"test.consulting","taken","",""
"test.contact","taken","",""
"test.contractors","taken","",""
"test.cooking","available","","€12.57"
"test.cool","available","premium","€8,082.32"
"test.country","taken","",""
"test.coupons","taken","",""
"test.courses","available","premium","€629.54"
"test.credit","taken","",""
"test.creditcard","taken","",""
"test.cruises","taken","",""
"test.cx","taken","",""
"test.cymru","taken","",""
"test.cyou","taken","",""
"test.dance","taken","",""
"test.date","taken","",""
"test.dating","taken","",""
"test.day","taken","",""
"test.de","taken","",""
"test.de.com","taken","",""
"test.deals","taken","",""
"test.degree","taken","",""
"test.delivery","taken","",""
"test.democrat","taken","",""
"test.dental","taken","",""
"test.dentist","taken","",""
"test.desi","taken","",""
"test.design","taken","",""
"test.dev","taken","",""
"test.diamonds","taken","",""
"test.diet","taken","",""
"test.digital","taken","",""
"test.direct","taken","",""
"test.directory","taken","",""
"test.discount","taken","",""
"test.doctor","taken","",""
"test.dog","available","premium","€1,452.78"
"test.domains","taken","",""
"test.download","taken","",""
"test.earth","taken","",""
"test.eco","taken","",""
"test.education","taken","",""
"test.email","taken","",""
"test.energy","taken","",""
"test.engineer","taken","",""
"test.engineering","taken","",""
"test.enterprises","taken","",""
"test.equipment","taken","",""
"test.es","taken","",""
"test.estate","taken","",""
"test.eu","taken","",""
"test.eu.com","taken","",""
"test.events","taken","",""
"test.exchange","taken","",""
"test.expert","taken","",""
"test.exposed","taken","",""
"test.express","taken","",""
"test.fail","taken","",""
"test.faith","taken","",""
"test.family","taken","",""
"test.fans","taken","",""
"test.farm","taken","",""
"test.fashion","taken","",""
"test.film","available","premium","€125.91"
"test.finance","taken","",""
"test.financial","taken","",""
"test.fish","taken","",""
"test.fishing","available","","€12.57"
"test.fit","taken","",""
"test.fitness","taken","",""
"test.flights","taken","",""
"test.florist","taken","",""
"test.flowers","taken","",""
"test.fm","taken","",""
"test.football","taken","",""
"test.forsale","taken","",""
"test.forum","taken","",""
"test.foundation","taken","",""
"test.fr","taken","",""
"test.fun","taken","",""
"test.fund","available","premium","€8,082.32"
"test.furniture","taken","",""
"test.futbol","taken","",""
"test.fyi","taken","",""
"test.gallery","taken","",""
"test.game","taken","",""
"test.games","taken","",""
"test.garden","taken","",""
"test.gay","available","premium","€290.56"
"test.gb.net","available","","€9.67"
"test.gdn","taken","",""
"test.gg","taken","",""
"test.gift","taken","",""
"test.gifts","taken","",""
"test.gives","taken","",""
"test.glass","taken","",""
"test.global","available","premium","€9,394.67"
"test.gmbh","taken","",""
"test.gold","available","premium","€1,409.20"
"test.golf","taken","",""
"test.gr.com","available","","€14.51"
"test.graphics","taken","",""
"test.gratis","taken","",""
"test.green","taken","",""
"test.gripe","taken","",""
"test.group","taken","",""
"test.guide","available","premium","€57,034.38"
"test.guitars","taken","",""
"test.guru","taken","",""
"test.hair","taken","",""
"test.hamburg","available","","€77.46"
"test.haus","taken","",""
"test.health","taken","",""
"test.healthcare","taken","",""
"test.help","taken","",""
"test.hiphop","taken","",""
"test.hockey","taken","",""
"test.holdings","taken","",""
"test.holiday","taken","",""
"test.homes","taken","",""
"test.horse","taken","",""
"test.host","taken","",""
"test.hosting","taken","",""
"test.house","taken","",""
"test.how","taken","",""
"test.hu.net","available","","€31.94"
"test.icu","taken","",""
"test.id","taken","",""
"test.immo","taken","",""
"test.immobilien","taken","",""
"test.in","taken","",""
"test.in.net","taken","",""
"test.inc","taken","",""
"test.industries","taken","",""
"test.info","taken","",""
"test.info","aftermarket","",""
"test.ink","taken","",""
"test.institute","taken","",""
"test.insure","taken","",""
"test.international","taken","",""
"test.investments","taken","",""
"test.io","taken","",""
"test.irish","taken","",""
"test.is","taken","",""
"test.jetzt","taken","",""
"test.jewelry","taken","",""
"test.jp.net","taken","",""
"test.jpn.com","taken","",""
"test.juegos","taken","",""
"test.kaufen","taken","",""
"test.kim","taken","",""
"test.kitchen","taken","",""
"test.kiwi","available","","€31.94"
"test.krd","available","","€33.88"
"test.kyoto","taken","",""
"test.la","taken","",""
"test.land","taken","",""
"test.lat","available","","€25.16"
"test.law","taken","",""
"test.lawyer","taken","",""
"test.lease","taken","",""
"test.legal","taken","",""
"test.lgbt","taken","",""
"test.li","taken","",""
"test.life","available","premium","€1,937.05"
"test.lighting","available","premium","€1,961.26"
"test.limited","taken","",""
"test.limo","taken","",""
"test.link","taken","",""
"test.live","taken","",""
"test.llc","taken","",""
"test.loan","taken","",""
"test.loans","taken","",""
"test.lol","taken","",""
"test.london","taken","",""
"test.love","available","","€4.82"
"test.ltd","available","premium","€1,244.55"
"test.ltda","available","","€43.56"
"test.maison","taken","",""
"test.makeup","taken","",""
"test.management","available","premium","€9,685.23"
"test.market","taken","",""
"test.marketing","taken","",""
"test.mba","taken","",""
"test.me","taken","",""
"test.me.uk","taken","",""
"test.media","available","premium","€4,842.62"
"test.melbourne","available","premium","€170.11"
"test.memorial","taken","",""
"test.men","taken","",""
"test.menu","taken","",""
"test.mex.com","available","","€12.57"
"test.miami","taken","",""
"test.mobi","taken","",""
"test.moda","taken","",""
"test.moe","taken","",""
"test.mom","taken","",""
"test.money","available","premium","€23,244.55"
"test.monster","taken","",""
"test.mortgage","taken","",""
"test.motorcycles","taken","",""
"test.movie","taken","",""
"test.mx","taken","",""
"test.nagoya","taken","",""
"test.name","taken","",""
"test.navy","taken","",""
"test.net","taken","",""
"test.net.au","taken","",""
"test.net.pe","taken","",""
"test.net.ph","available","","€38.72"
"test.net.vc","available","","€31.94"
"test.network","taken","",""
"test.new","available","","€473.59"
"test.news","taken","",""
"test.ninja","taken","",""
"test.nl","taken","",""
"test.nom.es","available","","€19.35"
"test.nu","taken","",""
"test.nyc","taken","",""
"test.observer","available","","€5.79"
"test.okinawa","taken","",""
"test.one","taken","",""
"test.onl","taken","",""
"test.online","available","","€2.79"
"test.org","taken","",""
"test.org.au","available","","€16.45"
"test.org.es","taken","",""
"test.org.mx","taken","",""
"test.org.pe","taken","",""
"test.org.ph","available","","€38.72"
"test.org.uk","taken","",""
"test.org.vc","available","","€31.94"
"test.osaka","taken","",""
"test.page","taken","",""
"test.paris","available","","€61.00"
"test.partners","taken","",""
"test.parts","taken","",""
"test.party","taken","",""
"test.pe","taken","",""
"test.ph","taken","",""
"test.photo","taken","",""
"test.photography","taken","",""
"test.photos","taken","",""
"test.pics","taken","",""
"test.pictures","taken","",""
"test.pink","taken","",""
"test.pizza","taken","",""
"test.place","taken","",""
"test.plumbing","taken","",""
"test.plus","available","premium","€16,910.41"
"test.poker","taken","",""
"test.porn","taken","",""
"test.press","available","","€4.82"
"test.pro","taken","",""
"test.prodazha","available","","€38.74"
"test.productions","taken","",""
"test.properties","taken","",""
"test.property","taken","",""
"test.protection","available","","€1,983.54"
"test.pub","taken","",""
"test.pw","taken","",""
"test.quest","available","","€1.73"
"test.racing","taken","",""
"test.realty","available","","€56.15"
"test.recipes","taken","",""
"test.red","taken","",""
"test.rehab","taken","",""
"test.reise","taken","",""
"test.reisen","taken","",""
"test.rent","available","","€4.84"
"test.rentals","available","premium","€10,169.49"
"test.repair","taken","",""
"test.report","taken","",""
"test.republican","taken","",""
"test.rest","taken","",""
"test.restaurant","taken","",""
"test.review","taken","",""
"test.reviews","taken","",""
"test.rip","taken","",""
"test.rocks","taken","",""
"test.rodeo","taken","",""
"test.rsvp","taken","",""
"test.ru.com","available","premium","€19.37"
"test.run","taken","",""
"test.ryukyu","taken","",""
"test.sa.com","taken","",""
"test.sale","taken","",""
"test.sarl","taken","",""
"test.sbs","taken","",""
"test.school","available","premium","€755.45"
"test.schule","taken","",""
"test.science","taken","",""
"test.se.net","available","","€31.94"
"test.security","taken","",""
"test.services","taken","",""
"test.sex","taken","",""
"test.sexy","taken","",""
"test.sg","available","","€43.56"
"test.sh","taken","",""
"test.shiksha","taken","",""
"test.shoes","taken","",""
"test.shop","available","premium","€3,147.70"
"test.shopping","taken","",""
"test.show","taken","",""
"test.singles","taken","",""
"test.site","taken","",""
"test.ski","taken","",""
"test.skin","taken","",""
"test.so","taken","",""
"test.soccer","taken","",""
"test.social","taken","",""
"test.software","taken","",""
"test.solar","taken","",""
"test.solutions","taken","",""
"test.soy","taken","",""
"test.space","taken","",""
"test.storage","taken","",""
"test.store","taken","",""
"test.stream","taken","",""
"test.studio","taken","",""
"test.study","available","premium","€629.54"
"test.style","taken","",""
"test.sucks","available","premium","€2,642.81"
"test.supplies","taken","",""
"test.supply","available","premium","€5,810.17"
"test.support","taken","",""
"test.surf","taken","",""
"test.surgery","taken","",""
"test.sydney","available","premium","€170.11"
"test.systems","taken","",""
"test.tattoo","taken","",""
"test.tax","taken","",""
"test.taxi","taken","",""
"test.team","taken","",""
"test.tech","taken","",""
"test.technology","taken","",""
"test.tel","taken","",""
"test.tennis","taken","",""
"test.theater","taken","",""
"test.theatre","taken","",""
"test.tickets","taken","",""
"test.tienda","taken","",""
"test.tips","taken","",""
"test.tires","taken","",""
"test.to","taken","",""
"test.today","available","premium","€9,685.23"
"test.tokyo","taken","",""
"test.tools","available","premium","€939.47"
"test.top","taken","",""
"test.tours","taken","",""
"test.town","taken","",""
"test.toys","taken","",""
"test.trade","available","","€4.82"
"test.training","taken","",""
"test.travel","taken","",""
"test.tube","taken","",""
"test.tv","taken","",""
"test.uk","taken","",""
"test.uk.com","taken","",""
"test.uk.net","available","","€30.97"
"test.university","taken","",""
"test.uno","taken","",""
"test.us","taken","",""
"test.us.com","taken","",""
"test.us.org","available","","€19.35"
"test.vacations","taken","",""
"test.vc","taken","",""
"test.vegas","taken","",""
"test.ventures","taken","",""
"test.vet","taken","",""
"test.viajes","taken","",""
"test.video","taken","",""
"test.villas","taken","",""
"test.vin","taken","",""
"test.vip","taken","",""
"test.vision","taken","",""
"test.vodka","available","","€12.57"
"test.voice","available","","€38.74"
"test.vote","taken","",""
"test.voting","available","","€1,190.30"
"test.voto","taken","",""
"test.voyage","taken","",""
"test.wales","taken","",""
"test.watch","taken","",""
"test.webcam","taken","",""
"test.website","taken","",""
"test.wedding","available","","€12.57"
"test.wiki","taken","",""
"test.win","taken","",""
"test.wine","available","premium","€46,973.37"
"test.work","taken","",""
"test.works","available","premium","€24,208.23"
"test.world","available","premium","€2,904.60"
"test.ws","taken","",""
"test.wtf","taken","",""
"test.xn--6frz82g","taken","",""
"test.xxx","taken","",""
"test.xyz","taken","",""
"test.yachts","taken","",""
"test.yoga","taken","",""
"test.yokohama","taken","",""
"test.za.com","available","premium","€2,409.69"
"test.zone","taken","",""
